"You understand and agree that the content of this document reflects order(s) placed / transaction(s) executed by you, and is solely provided for your own general information. This document does not constitute any financial, investment, legal, tax or any other advice. This document is available to you on an 'as-is' basis only, and Crypto.com is not liable for your amendment(s) to this document after export."
"Export contains maximum 65,000 data, older data after the limit will be excluded. Please review the records and adjust date range to export again to capture any additional data."
Export Date: 2025-10-31T10:23:25.471869Z[UTC]
Order ID,Time (UTC),Pair,Order Type,Side,Order Amount,Average Price,Deal Volume,Total,Trigger Condition,Status
5755600473401237281,2025-10-06 05:15:19.699,ADA_USDT,TAKE_PROFIT_LIMIT,SELL,119.4,0,0.0,0.00000,0.92000,CANCELED
5755600473401236687,2025-10-06 05:15:18.969,ADA_USDT,MARKET,BUY,119.4,0.83696,119.4,99.93279,0.00000,CANCELED
5755600473401072147,2025-10-06 05:13:03.816,NEAR_USDT,TAKE_PROFIT_LIMIT,SELL,34.0,0,0.0,0.0000,3.2300,CANCELED
5755600473401071044,2025-10-06 05:13:03.185,NEAR_USDT,MARKET,BUY,34.0,2.9380,34.0,99.8906,0.0000,CANCELED
5755600473397713978,2025-10-06 04:19:36.714,ALGO_USDT,TAKE_PROFIT_LIMIT,SELL,458,0,0,0.00000,0.24000,CANCELED
5755600473397713420,2025-10-06 04:19:35.987,ALGO_USDT,MARKET,BUY,458,0.21821,458,99.93996,0.00000,CANCELED
5755600473396870342,2025-10-06 04:05:48.762,ALGO_USDT,TAKE_PROFIT_LIMIT,SELL,45,0,0,0.00000,0.24000,CANCELED
5755600473396856778,2025-10-06 04:05:42.929,ALGO_USDT,MARKET,BUY,45,0.21822,45,9.82008,0.00000,CANCELED
5755600473395870216,2025-10-06 03:51:29.028,SOL_USDT,TAKE_PROFIT_LIMIT,SELL,0.043,0,0.000,0.00,255.11,CANCELED
5755600473395869858,2025-10-06 03:51:28.408,SOL_USDT,MARKET,BUY,0.043,231.96,0.043,9.97,0.00,CANCELED
5755600473373271526,2025-10-06 00:01:44.687,ALGO_USDT,MARKET,BUY,45,0.21828,45,9.82275,0.00000,CANCELED
5755600473373259551,2025-10-06 00:01:32.995,DOT_USDT,MARKET,BUY,2.42,4.1296,2.42,9.9936,0.0000,CANCELED
5755600473373258657,2025-10-06 00:01:32.025,ADA_USDT,MARKET,BUY,11.9,0.83636,11.9,9.95265,0.00000,CANCELED
